Locustag,28_1,28_2,29_1,29_2,36_1,36_2,46_1,46_2,47_1,47_2,49_1,49_2
ECB_02557,5.6452700477652574e-05,2.2448340325127948e-05,2.6486767811532175e-05,2.084971752446727e-05,1.5679817138488127e-05,7.005378141231019e-05,1.3847152282224513e-05,1.5817199191022158e-05,1.5880340031981935e-05,2.4462054949603275e-05,1.9675262860743253e-05,2.0833872426369844e-05
ECB_02558,3.478398716299805e-05,2.59019311443784e-05,4.177809768210745e-05,3.3054430221716405e-05,2.4888598632520836e-05,3.070258321156804e-05,2.158526679287939e-05,2.7080962251295512e-05,2.141169442514418e-05,2.2505090553635014e-05,1.798441995864813e-05,2.547836627938223e-05
ECB_02559,2.3664515856793753e-05,1.7267954096252266e-05,1.7202746104397186e-05,2.084971752446727e-05,1.0204325439333543e-05,1.0378337987008916e-05,8.145383695426184e-06,8.387908661905689e-06,9.278400917562478e-06,1.4677232969761965e-05,9.069066474873844e-06,9.8197870035119e-06
ECB_02560,6.842751573048796e-06,1.105149062160145e-05,1.1741556864906016e-05,1.423883148012399e-05,9.208781494032709e-06,1.254049173430244e-05,5.090864809641365e-06,5.512054263538025e-06,5.7097851800384485e-06,1.0518683628329408e-05,5.5336676795840405e-06,5.573392623614863e-06
ECB_02561,1.3115273848343527e-05,7.943258884276043e-06,1.256073525082969e-05,1.601868541513949e-05,1.045321142565875e-05,9.513476488091507e-06,3.461788070556128e-06,8.387908661905689e-06,8.921539343810076e-06,1.8835782311194522e-05,4.765102724086257e-06,4.379094204268821e-06
ECB_02562,3.335841391861288e-05,4.4896680650255896e-05,4.0958919296183776e-05,4.551340776682489e-05,3.5839582030830006e-05,3.2864736958861567e-05,2.0567093830951114e-05,2.7799925850887428e-05,2.0519540490763173e-05,2.76421220930517e-05,1.4141595181159214e-05,2.0303073128882715e-05
ECB_02563,7.412980870802863e-06,6.216463474650816e-06,2.4575351577710267e-06,7.119415740061995e-06,2.9866318359025004e-06,6.918891991339277e-06,1.6290767390852367e-06,3.8344725311568865e-06,1.9627386556382165e-06,5.870893187904786e-06,1.5371299109955667e-06,1.7250977168331719e-06
ECB_02564,6.158476415743917e-05,2.97008810455539e-05,4.860458423147141e-05,3.559707870030997e-05,2.737745849577292e-05,4.4107936444787894e-05,1.629076739085237e-05,2.2287871587349405e-05,2.7299910392058832e-05,3.498073857793268e-05,2.2903235673833944e-05,2.561106610375401e-05
ECB_02565,1.7391993581499024e-05,1.0706131539676406e-05,1.2014616326880574e-05,6.8651508922026375e-06,7.71546557608146e-06,9.94590723755021e-06,3.2581534781704734e-06,5.512054263538025e-06,4.460769671905038e-06,2.935446593952393e-06,2.7668338397920202e-06,4.644493853012386e-06
ECB_02566,1.0834356657327261e-05,1.7267954096252266e-05,1.092237847898234e-05,8.39073997935878e-06,8.959895507707502e-06,1.8162091477265602e-05,5.2944994020270195e-06,6.710326929524552e-06,1.0348985638819688e-05,1.7123438464722292e-05,7.531936563878277e-06,7.0330906917044695e-06
ECB_02567,1.881756682588419e-05,1.554115868662704e-05,3.0309600279175993e-05,2.237530661162341e-05,1.7422019042764585e-05,3.070258321156804e-05,1.1810806358367966e-05,1.5098235591430242e-05,1.4274462950096121e-05,1.7368059014218324e-05,1.5525012101055226e-05,1.5127779978383199e-05
ECB_02568,4.561834382032531e-06,1.036077245775136e-06,5.46118923949117e-06,4.322502413609068e-06,1.7422019042764586e-06,3.4594459956696384e-06,4.683595624870056e-06,1.4379271991838325e-06,2.8548925900192242e-06,4.6477904404246225e-06,3.2279728130906903e-06,1.7250977168331719e-06
ECB_02569,5.7022929775406635e-06,5.1803862288756805e-06,9.01096224516043e-06,1.1187653305811706e-05,6.719921630780626e-06,4.756738244045753e-06,5.2944994020270195e-06,6.470672396327246e-06,4.639200458781239e-06,4.892410989920655e-06,4.15025075968803e-06,4.90989350175595e-06
ECB_02570,7.412980870802863e-06,7.597899802350997e-06,6.280367625414845e-06,5.339561805046496e-06,2.9866318359025004e-06,8.216184239715392e-06,2.036345923856546e-06,3.8344725311568865e-06,3.7470465244002316e-06,9.540201430345277e-06,2.7668338397920202e-06,2.919396136179214e-06
ECB_02571,9.123668764065062e-06,1.1742208785451542e-05,1.2014616326880574e-05,8.136475131499423e-06,8.711009521382292e-06,1.167563023538503e-05,7.330845325883566e-06,5.991363329932635e-06,7.137231475048061e-06,1.4432612420265931e-05,5.07252870628537e-06,5.573392623614863e-06
ECB_02572,1.4255732443851659e-06,5.525745310800725e-06,2.184475695796468e-06,2.7969133264529264e-06,2.4888598632520836e-06,3.4594459956696384e-06,8.145383695426184e-07,2.1568907987757487e-06,3.5686157375240303e-06,4.158549341432556e-06,2.1519818753937936e-06,1.0615985949742595e-06
ECB_02573,1.3115273848343527e-05,2.279369940705299e-05,1.9387221800193655e-05,2.1103982372326628e-05,1.2942071288910836e-05,2.5513414218063584e-05,7.330845325883566e-06,9.106872261497607e-06,7.3156622619242615e-06,1.1986406925305604e-05,8.30050151937606e-06,5.44069279924308e-06
ECB_02574,1.710687893262199e-06,2.4175135734753173e-06,2.4575351577710267e-06,5.085296957187139e-07,4.977719726504167e-07,4.324307494587048e-06,1.4254421466995822e-06,7.189635995919163e-07,1.7843078687620152e-07,5.137031539416688e-06,9.2227794659734e-07,7.961989462306947e-07
ECB_02575,5.702292977540664e-07,6.907181638500907e-07,2.730594619745585e-07,0.0,1.2444299316260418e-06,8.648614989174096e-07,0.0,0.0,3.5686157375240303e-07,1.2231027474801638e-06,9.2227794659734e-07,7.961989462306947e-07
ECB_02576,4.276719733155498e-06,5.525745310800725e-06,1.3652973098727924e-06,5.593826652905853e-06,2.2399738769268754e-06,4.324307494587048e-06,1.8327113314708914e-06,1.9172362655784432e-06,2.8548925900192242e-06,1.7123438464722293e-06,1.998268884294237e-06,3.3174956092945613e-06
ECB_02577,3.592444575850618e-05,3.177303553710417e-05,2.7579005659430408e-05,5.034443987615268e-05,2.09064228513175e-05,2.421612196968747e-05,1.3643517689838857e-05,1.5098235591430242e-05,3.229597242459247e-05,1.761267956371436e-05,1.7830706967548573e-05,1.8710675236421324e-05
ECB_02578,8.838554115188029e-06,2.7628726554003627e-06,5.188129777516612e-06,9.916329066514922e-06,5.226605712829375e-06,8.216184239715392e-06,3.869057255327437e-06,3.8344725311568865e-06,2.6764618031430225e-06,4.158549341432556e-06,3.5353987952898035e-06,4.113694555525256e-06
ECB_02579,4.219696803380091e-05,4.9040989633356435e-05,4.2597276068031125e-05,5.542973683333982e-05,1.9164220947041043e-05,3.3729598457778974e-05,1.6087132798466712e-05,1.77344354566006e-05,2.37312946545348e-05,2.2749711103131046e-05,1.2450752279064091e-05,1.685287769521637e-05
ECB_02580,5.2461095393374106e-05,8.254082058008583e-05,7.290687634720712e-05,9.433225855582144e-05,4.0568415771008966e-05,7.481051965635593e-05,3.31924385588617e-05,4.793090663946108e-05,3.408028029335449e-05,9.27111882589964e-05,2.075125379844015e-05,2.6805364523100054e-05
ECB_02581,2.1953827963531555e-05,2.521121298052831e-05,1.9933340724142772e-05,2.2629571459482768e-05,1.5679817138488127e-05,3.156744471048545e-05,1.3847152282224513e-05,1.5098235591430242e-05,1.9270524982629763e-05,1.3209509672785769e-05,1.4141595181159214e-05,1.685287769521637e-05
ECB_02582,2.566031839893299e-06,1.036077245775136e-06,1.092237847898234e-06,1.2713242392967848e-06,1.9910878906016668e-06,2.594584496752229e-06,1.8327113314708914e-06,1.9172362655784432e-06,2.3196002293906195e-06,2.4462054949603276e-06,2.7668338397920202e-06,1.9904973655767366e-06
ECB_02583,9.294737553391282e-05,0.00011776744693644047,0.00010294341716440856,0.00011441918153671063,0.00012543853710790501,0.0001794587610253625,0.00012034804409992187,0.00014858581058232935,0.00014042502927157058,0.0001218210336490243,0.0001266595046660347,0.00012487053473384728
ECB_02584,2.566031839893299e-06,2.4175135734753173e-06,3.0036540817201435e-06,7.627945435780709e-07,1.2444299316260418e-06,2.594584496752229e-06,3.0545188857848187e-06,7.189635995919163e-07,1.4274462950096121e-06,1.4677232969761965e-06,1.1221048350267637e-05,1.247378349094755e-05
ECB_02585,5.1320636797865974e-05,1.8994749505877492e-05,4.915070315542053e-05,2.8223398112388624e-05,2.289751074191917e-05,2.248639897185265e-05,1.6087132798466712e-05,2.1808562520954793e-05,1.8021509474496352e-05,2.6174398796075502e-05,1.859927192304636e-05,2.163007137260054e-05
ECB_02586,2.794123558994925e-05,8.288617966201088e-06,2.0479459648091888e-05,1.2458977545108491e-05,6.471035644455418e-06,7.783753490256686e-06,9.570825842125765e-06,5.032745197143414e-06,9.813693278191083e-06,7.09399593538495e-06,5.5336676795840405e-06,8.492788759794076e-06
ECB_02587,4.305231198043201e-05,2.659264930822849e-05,3.467855167076893e-05,3.254590052599769e-05,1.4684273193187294e-05,3.2864736958861567e-05,1.730894035278064e-05,1.3899962925443714e-05,2.5337171736420615e-05,2.7886742642547732e-05,1.4910160136656998e-05,2.282436979194658e-05
ECB_02588,7.412980870802863e-06,3.7989499011754987e-06,4.095891929618378e-06,9.407799370796207e-06,5.226605712829375e-06,6.486461241880572e-06,3.0545188857848187e-06,5.272399730340719e-06,7.494093048800463e-06,7.09399593538495e-06,4.765102724086257e-06,3.5828952580381258e-06
ECB_02589,2.4804974452301888e-05,3.4190549110579485e-05,2.375617319178659e-05,0.0007307571727477919,9.955439453008334e-06,3.0270152462109337e-05,1.242171013552493e-05,1.5098235591430242e-05,1.9627386556382166e-05,1.9814264509178653e-05,1.0452483394769855e-05,1.194298419346042e-05
ECB_02590,9.123668764065062e-06,1.7267954096252266e-05,9.01096224516043e-06,1.2458977545108491e-05,7.2176936034310425e-06,1.167563023538503e-05,8.959922064968802e-06,7.189635995919163e-06,7.672523835676664e-06,9.295580880849245e-06,3.68911178638936e-06,7.0330906917044695e-06
ECB_02591,0.003479539174895313,0.0012657410352552912,0.0024193068330945885,0.001402524900792213,0.0009193848334853197,0.0011545901010547419,0.0008556725572045206,0.0009576595146564324,0.0009215950142155807,0.0010053904584286946,0.0008149862788098495,0.0009860923949067154
ECB_02592,0.00041598227271159144,0.00025729251603415877,0.0004672047394384696,0.0004820861515413408,0.0003001564995082013,0.0003602148142991011,0.00024741602974857034,0.00029980782102982905,0.0002813853509037698,0.0002876737662073345,0.00034247254416981226,0.0004896623519318772
ECB_02593,5.7593159073160706e-05,9.946341559441306e-05,5.46118923949117e-05,6.763444953058895e-05,5.550157495052147e-05,6.962135066285147e-05,5.172318646595627e-05,5.943432423293174e-05,5.691942101350828e-05,5.993203462652802e-05,4.7036175276464344e-05,5.374342887057189e-05
ECB_02594,0.00015139587855370464,0.00018787534056722468,0.00016028590417906585,0.00020748011585323528,0.00017919791015415002,0.0001894046682629127,0.00013663881149077422,0.00015625475564464314,0.0001755758942861823,0.00015851411607342922,0.00013188574636341962,0.00014610250663333246
ECB_02595,0.00014882984671381132,0.0002034164992538517,0.00017311969889187008,0.00019527540315598615,0.0001431094421369948,0.00019589112950479327,0.0001372497152679312,0.00017350988203484913,0.00017093669382740105,0.00016952204080075068,0.0001277354956037316,0.0001345576219129874
ECB_02596,2.5660318398932987e-05,4.973170779720653e-05,4.232421660605657e-05,5.034443987615268e-05,3.459515209920396e-05,4.324307494587048e-05,3.909784173804568e-05,4.9608488371842224e-05,4.4072404358421774e-05,4.5988663305254155e-05,2.7514625406820645e-05,3.370575539043274e-05
ECB_02597,6.0444305561931036e-05,0.00010809739264253919,8.628678998396048e-05,0.00012026727303747584,8.984784106340022e-05,0.00010118879537333693,8.247200991619011e-05,0.00011767037579987697,9.760164042128222e-05,7.656623199225825e-05,7.147654086129385e-05,8.107959269115908e-05
ECB_02598,5.075040750011191e-05,6.596358464768366e-05,4.205115714408201e-05,5.390414774618367e-05,0.00010527877221556315,4.972953618775105e-05,2.1992535977650695e-05,3.2113707448438924e-05,3.176068006396387e-05,4.4276319458781925e-05,3.320200607750424e-05,4.326014274520108e-05
ECB_02599,6.0159190913054e-05,0.00013917971001579327,7.290687634720712e-05,0.00011035094397096093,5.4008259032570216e-05,9.686448787874988e-05,5.416680157458412e-05,5.080676103782875e-05,7.351348419299502e-05,8.537257177411542e-05,4.180993357907942e-05,7.099440603890361e-05
ECB_02600,0.00018589475106782564,0.00022448340325127947,0.0002585873104899069,0.0002761316247752617,0.0004940386828555386,0.00018594522226724307,0.0002506741832267408,0.00020562358948328805,0.0002465913474629105,0.00023434648641719937,0.00015724838989484647,0.00026805364523100055
ECB_02601,0.0030972004307512116,0.0033406583994609637,0.004319800688437516,0.003972633982954593,0.002507028540253824,0.002673719323903172,0.003658295452208285,0.0026917997168721345,0.00364284294486453,0.0032991973510529938,0.00230923026528864,0.0038826641612939826
ECB_02602,0.0015168099320258166,0.0015358118373206765,0.0018117495302011957,0.0022621943514046987,0.001016450368152151,0.0014144809814794234,0.0015671718229999978,0.0011352435237556358,0.0018096450404984357,0.001523496782261292,0.0014421352824960407,0.002173755823034168
ECB_02603,1.2259929901712428e-05,3.073695829132903e-05,1.5564389332549834e-05,1.601868541513949e-05,2.0657536864992294e-05,3.243230620940286e-05,2.0159824646179804e-05,2.1808562520954793e-05,1.9448955769505963e-05,2.7886742642547732e-05,3.274086710420557e-05,3.290955644420205e-05
ECB_02604,1.0549242008450228e-05,2.59019311443784e-05,9.557081169109547e-06,9.15353452293685e-06,6.222149658130209e-06,2.2918829721311354e-05,4.479961032484401e-06,2.2287871587349405e-05,7.137231475048061e-06,1.9080402860690554e-05,3.68911178638936e-06,7.2984903404480345e-06
ECB_02605,2.2809171910162654e-06,4.144308983100544e-06,1.092237847898234e-06,2.2883836307342125e-06,1.2444299316260418e-06,5.189168993504458e-06,2.2399805162422004e-06,1.9172362655784432e-06,1.6058770818858136e-06,2.4462054949603276e-06,3.68911178638936e-06,5.042593326127733e-06
ECB_02606,1.1404585955081327e-06,2.072154491550272e-06,2.730594619745585e-06,1.5255890871561418e-06,9.955439453008334e-07,2.594584496752229e-06,1.6290767390852367e-06,1.677581732381138e-06,2.141169442514418e-06,2.201584945464295e-06,1.998268884294237e-06,1.3269982437178245e-06
