Locustag	28_1	28_2	29_1	29_2	36_1	36_2	46_1	46_2	47_1	47_2	49_1	49_2
ECB_00298	49	66	66	18	63	42	39	28	34	51	38	44
ECB_00299	309	132	285	188	176	157	149	168	205	179	293	378
ECB_00300	741	34	563	73	66	68	89	116	112	89	139	248
ECB_00301	24	8	9	9	17	14	10	23	11	31	25	37
ECB_00302	9	10	9	12	9	8	10	15	16	11	11	19
ECB_00303	10	13	16	10	31	12	10	22	24	16	23	30
ECB_00304	16	18	19	9	23	14	32	19	31	12	27	53
ECB_00305	23	13	25	45	52	38	46	34	51	62	45	70
ECB_00306	24	26	39	25	36	22	24	32	29	30	34	36
ECB_00307	54	55	47	76	28	37	40	49	40	86	48	42
ECB_00308	136	165	120	138	164	108	124	148	169	208	178	270
ECB_00309	75	72	65	81	103	62	128	81	128	132	233	253
ECB_00310	218	185	263	233	301	144	301	264	331	273	463	503
ECB_00311	43	25	48	34	42	42	51	57	74	69	107	143
ECB_00312	146	103	164	181	95	90	120	87	157	105	179	282
ECB_00313	0	0	0	1	0	0	0	4	0	0	1	1
ECB_00314	1	1	0	0	0	0	0	1	0	0	0	0
ECB_00315	1851	1306	2575	2390	1448	1043	2671	1463	2807	1670	2256	3986
ECB_00316	3435	2475	4707	4535	2878	2153	5082	2888	5478	3512	3123	5470
ECB_00317	3662	2668	4746	4642	2753	1501	3995	2397	4213	2882	2028	3451
ECB_00318	3299	2095	4716	4250	2285	1516	3329	2009	3448	2191	1855	3655
ECB_00319	606	590	866	965	874	499	1054	933	1218	857	1717	2283
ECB_00320	2	3	3	1	0	4	1	1	4	5	2	2
ECB_00321	87	92	73	80	57	47	43	52	79	63	131	159
ECB_00322	0	2	5	0	3	0	0	0	3	3	12	22
ECB_00323	361	209	389	303	270	174	323	308	423	258	501	694
ECB_00324	88	58	85	102	78	62	82	110	145	126	164	205
ECB_00325	163	144	242	220	188	157	234	233	311	225	301	397
ECB_00326	53	4	30	4	9	1	5	6	6	4	11	5
ECB_00327	635	121	600	154	160	89	115	143	139	147	119	144
ECB_00328	496	479	499	612	393	258	480	441	523	427	532	733
ECB_00329	25	15	33	9	22	10	20	23	21	34	248	392
ECB_00330	91	83	89	124	80	69	138	91	107	92	526	713
ECB_00331	50	25	29	39	16	28	29	26	27	24	81	126
ECB_00332	16	19	15	15	6	22	5	9	18	38	15	27
ECB_00333	202	228	258	298	376	224	456	401	608	456	609	719
ECB_00334	102	46	111	84	74	61	70	60	91	75	137	179
ECB_00335	241	256	211	243	136	118	128	143	223	184	214	299
ECB_00336	39	43	32	44	24	42	23	28	29	31	91	155
ECB_00337	117	92	52	93	35	36	54	33	78	78	115	128
ECB_00338	716	544	885	800	648	515	676	822	838	638	956	1492
ECB_00339	43	57	53	72	50	25	21	38	56	42	134	160
ECB_00340	1	0	1	0	0	0	0	0	2	1	0	0
ECB_00341	0	5	0	0	0	0	1	0	2	0	0	0
ECB_00342	173	233	186	291	265	226	252	318	370	285	438	508
ECB_00343	93	62	75	70	41	48	44	27	61	46	69	85
ECB_00344	86	110	73	104	85	63	92	107	121	105	173	179
ECB_00345	161	155	224	247	306	225	350	318	522	403	548	623
ECB_00346	96	116	71	136	139	103	101	134	176	145	168	217
ECB_00347	174	89	106	155	55	39	133	102	118	82	156	169
ECB_00348	168	109	113	152	100	71	195	121	125	98	84	125
ECB_00349	385	411	335	525	509	304	507	522	529	512	477	598
ECB_00350	240	322	249	350	243	225	317	270	392	263	411	378
ECB_00351	220	171	243	236	164	123	163	146	221	176	199	240
ECB_00353	120	205	145	226	236	185	237	264	300	202	438	462
ECB_00354	698	829	631	1143	1815	953	2119	1730	2226	1569	2124	2463
ECB_00355	2070	2411	1510	2019	2131	1652	2703	2734	3358	2789	3159	3497
ECB_00356	1080	1600	1159	2049	2361	1523	2392	2265	3063	2329	2800	3380
ECB_00357	862	1254	1102	1585	2196	1083	2578	2224	2784	2027	2009	2184
ECB_00358	35	47	42	49	46	49	50	57	93	74	134	180
ECB_00359	1107	417	825	399	725	480	1091	838	1195	804	1297	1402
ECB_00360	33	18	23	37	33	31	19	22	39	27	40	57
ECB_00361	340	275	473	477	589	321	526	425	636	455	613	848
ECB_00362	359	376	538	637	639	389	600	595	896	533	859	1154
ECB_00363	480	981	661	897	665	437	671	572	822	763	764	1039
ECB_00364	274	528	520	805	527	373	595	521	647	439	795	855
ECB_00365	122	202	136	295	190	191	204	200	282	252	283	289
