group,timepoint,Time,well,S freq,lambda,total count,YFP,BFP,Dilution,corrected total count,gen,competition,S minmaj,scaled counts,S counts,LSl counts,BFP freq,timegroup,BFP counts,YFP counts
2,4,4.250000000000001,A5,0.006737589,0.7186081540000001,5200,7813.292969,8663.666016,0.005,7290.250982,17k,L,min,1458050.1963999998,9823.74296471248,1448226.453435287,0.006737589,1.0,9823.74296471248,1448226.453435287
7,4,4.333333333333334,C9,0.903165788,0.014473623,790,7568.234375,8471.734375,0.005,795.7308724,40k,Sl,maj,159146.17448,143735.38008141468,15410.794398585305,0.903165788,4.0,143735.38008141468,15410.794398585305
3,4,4.283333333333334,A8,0.994576094,0.054362076,3410,7763.099120999998,8587.751953,0.005,3503.527078,17k,Sl,maj,700705.4156,696904.8552920946,3800.560307905318,0.994576094,2.0,696904.8552920946,3800.560307905318
2,4,4.250000000000001,A4,0.008232606,0.662231427,4810,7819.062012,8695.952148,0.005,6577.180647,17k,L,min,1315436.1294,10829.467371515217,1304606.6620284847,0.008232606,1.0,10829.467371515217,1304606.6620284847
4,4,4.283333333333334,A12,0.091954757,0.022399417,1604,7755.402344,8621.988281,0.005,1622.031397,17k,Sl,min,324406.2794,29830.700591501107,294575.5788084989,0.091954757,2.0,29830.700591501107,294575.5788084989
3,4,4.283333333333334,A9,0.99157236,0.07206631299999999,3321,7763.822265999999,8603.001953,0.005,3442.103304,17k,Sl,maj,688420.6608,682618.8993022154,5801.761497784482,0.99157236,2.0,682618.8993022154,5801.761497784482
1,4,4.250000000000001,A3,0.97594176,0.03202296,2660,7896.435059,8555.579102,0.005,2702.817845,17k,L,maj,540563.569,527558.5609217414,13005.008078258565,0.97594176,1.0,527558.5609217414,13005.008078258565
1,4,4.250000000000001,A1,0.977459475,0.033545966,2706,7864.111816,8560.962891,0.005,2751.64145,17k,L,maj,550328.29,537923.6014210478,12404.688578952271,0.977459475,1.0,537923.6014210478,12404.688578952271
1,4,4.250000000000001,A2,0.975677229,0.08475314699999999,2486,7844.495605,8562.255859,0.005,2592.836082,17k,L,maj,518567.2164,505954.2247473954,12612.991652604596,0.975677229,1.0,505954.2247473954,12612.991652604596
2,5,5.583333333333332,A4,0.006578745,0.201999599,7575,7463.795898,8525.693359,0.003,8365.813406000001,17k,L,min,2788604.4686666667,18345.51770521849,2770258.9509614487,0.006578745,1.0,18345.51770521849,2770258.9509614487
1,5,5.583333333333332,A3,0.977797646,0.032129548,4301,7478.246094,8463.384766,0.003,4370.464582,17k,L,maj,1456821.5273333332,1424476.6600686575,32344.867264675388,0.977797646,1.0,1424476.6600686575,32344.867264675388
6,5,5.683333333333334,C5,0.044099892000000085,0.065404697,7254,7621.334961,8491.808594,0.003,7493.808566,40k,L,min,2497936.1886666664,110158.71614309182,2387777.4725235747,0.955900108,3.0,2387777.4725235747,110158.71614309182
5,5,5.683333333333334,C2,0.97670445,0.5432843589999999,5666,7453.456543000001,8504.733398,0.003,7343.80752,40k,L,maj,2447935.84,2390909.828242488,57026.011757512,0.02329555,3.0,57026.011757512,2390909.828242488
6,5,5.683333333333334,C4,0.04738310900000009,0.052686179000000014,5887,7602.687012,8501.176758,0.003,6043.443484,40k,L,min,2014481.1613333332,95452.38044590413,1919028.7808874291,0.952616891,3.0,1919028.7808874291,95452.38044590413
8,5,5.616666666666667,C12,0.003774865,0.935088035,5689,7441.832031,8489.213867,0.003,8757.47348,40k,Sl,min,2919157.8266666667,11019.426709360068,2908138.3999573067,0.003774865,4.0,11019.426709360068,2908138.3999573067
5,5,5.683333333333334,C3,0.968388385,0.589992936,4655,7517.011719,8567.875,0.003,6162.462170000002,40k,L,maj,2054154.0566666669,1989218.9294766318,64935.127190034866,0.031611615,3.0,64935.127190034866,1989218.9294766318
2,5,5.583333333333332,A5,0.00765945,0.183728818,7161,7486.192870999998,8583.629883,0.003,7838.97377,17k,L,min,2612991.256666667,20014.0758808755,2592977.1807857915,0.00765945,1.0,20014.0758808755,2592977.1807857915
4,5,5.6000000000000005,A11,0.108127329,0.105606123,3928,7675.657227,8539.608398,0.003,4139.060382,17k,Sl,min,1379686.7939999998,149181.8478917932,1230504.9461082066,0.108127329,2.0,149181.8478917932,1230504.9461082066
7,5,5.616666666666667,C9,0.910612836,0.044153145,2226,7474.753906,8353.242188,0.003,2275.5040710000007,40k,Sl,maj,758501.3570000002,690701.0718076185,67800.28519238158,0.910612836,4.0,690701.0718076185,67800.28519238158
4,5,5.6000000000000005,A12,0.111922573,0.049952979,4431,7698.28418,8492.352539,0.003,4542.592175,17k,Sl,min,1514197.3916666666,169472.86810522212,1344724.5235614446,0.111922573,2.0,169472.86810522212,1344724.5235614446
